timestamp,frame_number,bicycle,car,motorcycle,bus,truck,total_vehicles,density_level,rolling_avg_5,hour_of_day,day_of_week,events
2026-04-08T16:01:26.058367,30,0,6,0,0,1,7,medium,7.0,16,Wednesday,RUSH_HOUR_START|SESSION_PEAK
2026-04-08T16:01:26.785089,60,0,5,0,0,2,7,medium,7.0,16,Wednesday,
2026-04-08T16:01:27.269987,90,0,4,0,0,1,5,medium,6.33,16,Wednesday,
2026-04-08T16:01:28.309475,120,0,3,0,0,1,4,medium,5.75,16,Wednesday,
2026-04-08T16:01:28.793277,150,0,2,0,0,1,3,medium,5.2,16,Wednesday,HEAVY_VEHICLE_PEAK|SUSTAINED_FLOW
2026-04-08T16:01:29.536638,180,0,2,0,0,1,3,medium,4.4,16,Wednesday,HEAVY_VEHICLE_PEAK|SUSTAINED_FLOW
2026-04-08T16:01:29.994503,210,0,1,0,0,1,2,low,3.4,16,Wednesday,HEAVY_VEHICLE_PEAK|QUIET_PERIOD
2026-04-08T16:01:30.870400,240,0,1,0,0,1,2,low,2.8,16,Wednesday,HEAVY_VEHICLE_PEAK|QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:31.344137,270,0,2,0,0,1,3,medium,2.6,16,Wednesday,HEAVY_VEHICLE_PEAK
2026-04-08T16:01:32.058739,300,0,2,0,0,0,2,low,2.4,16,Wednesday,QUIET_PERIOD
2026-04-08T16:01:32.539314,330,0,3,0,0,0,3,medium,2.4,16,Wednesday,
2026-04-08T16:01:33.159650,360,0,1,0,0,0,1,low,2.2,16,Wednesday,QUIET_PERIOD
2026-04-08T16:01:33.653681,390,0,3,0,0,0,3,medium,2.4,16,Wednesday,
2026-04-08T16:01:35.921235,420,0,2,0,0,0,2,low,2.2,16,Wednesday,QUIET_PERIOD
2026-04-08T16:01:36.471879,450,0,1,0,0,0,1,low,2.0,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:36.987842,480,0,1,0,0,0,1,low,1.6,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:37.539884,510,0,2,0,0,0,2,low,1.8,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:38.582569,540,0,2,0,0,0,2,low,1.6,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:39.147329,570,0,2,0,0,0,2,low,1.6,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:40.928699,600,0,2,0,0,0,2,low,1.8,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:41.485092,630,0,2,0,0,0,2,low,2.0,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
2026-04-08T16:01:43.047264,660,0,2,0,0,0,2,low,2.0,16,Wednesday,QUIET_PERIOD|DEAD_ZONE
